"t_dat","user_id","product_id","rating"
"2024-02-14T17:57:09.967Z",17339592,215601923,3.5
"2024-02-14T17:57:09.967Z",17339592,170808779,4
"2024-02-14T17:57:09.967Z",17339592,164310669,3.4
"2024-02-14T17:57:09.967Z",17339592,54073357,1
"2024-02-14T17:57:09.967Z",17339592,170808746,1.7
"2024-06-10T14:53:31.539Z",16435494,86988226,2
"2024-06-10T14:53:31.539Z",16435494,275225044,3
"2024-04-28T15:23:13.109Z",14561714,176250783,4.7
"2024-04-28T15:23:13.109Z",14561714,275225057,1
"2024-04-06T10:07:34.671Z",27002170,275225074,3
"2024-04-06T10:07:34.671Z",27002170,68027471,4
"2024-04-06T10:07:34.671Z",27002170,184920345,2
"2024-04-06T10:07:34.671Z",27002170,171020249,5
"2024-02-04T14:26:40.647Z",7234078,94808227,3
"2024-02-04T14:26:40.647Z",7234078,132107482,2.5
"2024-02-04T14:26:40.647Z",7234078,275225026,2.6
"2024-02-04T14:26:40.647Z",7234078,111972654,2
"2024-02-04T14:26:40.647Z",7234078,50713741,3
"2024-04-30T16:45:00.795Z",12651861,275175461,3
"2024-04-30T16:45:00.795Z",12651861,69984571,3.2
"2024-04-30T16:45:00.795Z",12651861,212321323,1
"2024-04-30T16:45:00.795Z",12651861,45480982,5
"2024-05-09T19:52:12.737Z",18655026,275225048,2.8
"2024-05-09T19:52:12.737Z",18655026,229972422,2.6
"2024-04-01T08:26:39.293Z",899162,185209207,2.5
"2024-04-01T08:26:39.293Z",899162,164251651,2.5
"2024-04-01T08:26:39.293Z",899162,13306746,2
"2024-04-18T12:24:41.609Z",8316515,275225076,4
"2024-04-18T12:24:41.609Z",8316515,275225053,3.2
"2024-04-18T12:24:41.609Z",8316515,167937610,3.2
"2024-04-27T04:03:03.522Z",20759316,275225073,5
"2024-04-27T04:03:03.522Z",20759316,275175461,3
"2024-04-27T04:03:03.522Z",20759316,7360209,2.5
"2024-04-27T04:03:03.522Z",20759316,275225026,2.6
"2024-04-26T18:48:28.283Z",9045258,212469874,2.4
"2024-04-26T18:48:28.283Z",9045258,274585245,2.4
"2024-04-26T18:48:28.283Z",9045258,26081106,2.5
"2024-06-11T12:18:22.908Z",7947923,121649229,2.8
"2024-06-11T12:18:22.908Z",7947923,171020189,3
"2024-06-11T12:18:22.908Z",7947923,275225042,2.3
"2024-06-11T12:18:22.908Z",7947923,51477300,3
"2024-06-11T12:18:22.908Z",7947923,19364741,2.2
"2024-01-23T03:34:56.579Z",19774514,54158651,3
"2024-01-23T03:34:56.579Z",19774514,172474870,1.5
"2024-01-23T03:34:56.579Z",19774514,177637414,4
"2024-01-23T03:34:56.579Z",19774514,94808227,3
"2024-01-23T03:34:56.579Z",19774514,140107331,1
"2024-02-02T17:15:26.017Z",16938194,73744766,4.7
"2024-04-20T18:08:09.402Z",12567447,107709913,5
"2024-04-20T18:08:09.402Z",12567447,136020884,4
"2024-04-20T18:08:09.402Z",12567447,214887627,1
"2024-01-03T00:04:05.506Z",16378845,22835214,3.2
"2024-01-03T00:04:05.506Z",16378845,22774705,2.2
"2024-01-03T00:04:05.506Z",16378845,258379041,2
"2024-01-03T00:04:05.506Z",16378845,38080465,2.2
"2024-01-03T00:04:05.506Z",16378845,275225064,3.4
"2024-03-16T19:36:40.560Z",26939082,4399961,5
"2024-03-16T19:36:40.560Z",26939082,165176786,3
"2024-03-16T19:36:40.560Z",26939082,275225085,1
"2024-03-16T19:36:40.560Z",26939082,203145770,2
"2024-02-11T09:41:13.165Z",16767409,108761942,3
"2024-02-11T09:41:13.165Z",16767409,275002754,4.2
"2024-02-11T09:41:13.165Z",16767409,176251118,4.6
"2024-02-11T09:41:13.165Z",16767409,172908253,3
"2024-06-01T20:42:02.989Z",19823877,275225056,1
"2024-06-01T20:42:02.989Z",19823877,164550314,3.4
"2024-06-01T20:42:02.989Z",19823877,103076103,3.5
"2024-06-01T20:42:02.989Z",19823877,275225079,1
"2024-06-01T20:42:02.989Z",19823877,13306746,2
"2024-02-25T18:11:53.047Z",12068060,75420641,4
"2024-06-19T08:50:10.742Z",2133674,115269475,2.2
"2024-06-19T08:50:10.742Z",2133674,76438775,3.8
"2024-06-19T08:50:10.742Z",2133674,172908253,3
